read_id	sequence_length_template
d6b66416-6b2d-43db-8d8d-ab6f0595f562	600
aca2f47c-00ad-40a2-b971-3a1235f02b32	350
61479c40-726e-4d8b-9a78-e697fd243151	327
6824e71e-4799-4b12-9106-1e8fdccd608d	359
abc3667f-cd35-402d-a8d5-cf227ea5c5c5	208
76663950-818f-44e9-b25a-dbb89550d7ee	345
7d89789e-c57b-4bbe-ad8e-750d9a2cf0ae	349
125241e1-60e7-402c-983e-3dedf158b7ef	336
cd79554f-10db-4d03-a230-57372a612fd3	337
7ef0805e-2510-4a76-81d3-b01b5d515dc4	372
e1bf7f25-91ea-4473-ab11-e434422ff095	350
2c59e85f-b9f1-4636-9821-944e5d4e1e06	342
9e05dabd-a7c7-49ae-af70-34021b43bab5	293
fe719c0d-c238-4732-9616-fe10fde4a6d0	341
08f975b3-cfed-49d6-a155-1b0583dad12f	354
ba9a8473-e48c-4f81-b9c9-b13bd9109e1d	342
834c0c13-35a1-4aff-987d-cb29860ad132	367
f7611519-e448-4b2f-afc2-0e9e42c18368	349
5765e19f-2fbd-495f-98f8-6c19f6cdccd5	357
924cf82c-61ca-4990-aca7-8c9b43ceccb0	354
4320de5b-3ebd-408b-9c2c-226dfef4847b	309
a5dab2f7-e475-4c4e-8951-f1f1d4bbb2a0	342
3848b55d-2541-4baa-af69-fb62351dddf5	340
6893cf44-3a32-4f77-901a-8494c614a195	348
47077a9f-c06f-42ed-a82c-e89cae8f5836	347
07e80969-60a0-42ac-8380-9ed7a32231a5	336
27c00b0e-f202-4a2e-add9-778410d0e22b	329
39b97065-03a9-463b-a4a8-4bf44c9079a1	332
aea4db38-c21d-4cbd-bf06-ea3e313d4bcd	347
a22fcfde-b1b2-48a6-b28b-407057030d80	342
a1904f60-863c-4573-964d-6f79dfea49b1	335
2111de20-e0ea-42fe-a231-47679a49dd8f	373
7cb7d5ba-2b1b-482b-ad4f-dc69b534d0f7	331
f5d75563-deb5-4e0e-a075-7218bd216faa	374
958c0ac4-ad60-4bd4-960c-8f2717a9248e	334
23f41f89-d315-4804-a5c6-00ac7053a990	363
da7ec10b-e800-4f31-928c-19fe84664893	2148
8869e189-8b04-4c7e-a360-727b4515fb59	354
0c2091c6-6c75-4254-906b-bd5fb6a65b6b	309
1c17c830-0686-44b3-9d61-e263e1da3fca	400
2f564547-ffe4-4528-ba0e-cf375ef7aff1	355
c2778adb-cfc2-4796-87f8-c34371067c25	351
b645bbf8-e23a-42d3-99bb-548c76e094cd	345
71443bb8-a780-4c18-90c2-7844f5442770	331
64685210-8697-46d5-bb1c-53ff7ff52a53	355
f75b9120-e6c7-461f-8e83-abfab16ec9dc	334
d4fe8ee1-96c1-4c17-90ea-de8d1f741773	333
406a8954-451a-44b6-a96c-97fc1cbf7af9	348
3f07c6e1-e295-41dc-b8c1-639827e086cf	357
0e925a38-b4e0-4e4c-8aec-eaab073867b0	341
db04fbf1-fec9-4bc4-a61c-bced2ea20413	199
a19985fb-d668-4976-b651-658ef2e0106f	315
bb5df535-4fcb-41f6-b354-3ad25e2bb578	344
2284f582-d689-4a99-a62a-35963181c0da	350
6a34b1e4-0547-49e5-b9f3-045d18dd2cd5	352
1f14efe1-9156-4f6d-a57d-94d160bb3852	356
f60f2868-13c2-4194-aee7-a51bc929ee0f	364
58843a7d-d874-4f66-b00b-b7cb6369bb61	446
f7407cf1-e5d4-4171-be10-eae3b2b4284f	878
ca18a94a-c2bf-4d73-9817-b1e2c8d8b7bd	343
814d506f-4980-4e1c-a7ca-ede49a5b7c70	351
2f95e30e-ddfe-420b-b512-49db1fae5f76	344
f41c5442-8621-4c44-9dca-27b70ba8450f	351
dc7c1f5a-cebd-445b-9da1-bd4c30596aa3	347
835523a1-19e2-404c-9e7d-f8db4589f832	349
530b49dd-63c3-4a2a-9904-d480ff9cf866	556
9bfc25f4-7e13-4879-a38d-ba577eb8cd41	332
f32292d2-ca54-490d-8849-6ecc4763e3c9	373
5472342a-b2b1-478d-b28d-016010e39435	363
41fc6e6d-4181-432d-932a-7c3b37100e2d	189
5e946a5a-dab8-48de-9c50-7f2641265b0e	361
6cef6f60-c035-4ee6-a02b-89f117ede7c7	339
397b41e0-e8c7-4b00-8fe1-d5e9c780a329	326
904e562c-b8f5-4286-9f17-e81b4061bcf8	328
540ba8d6-ab8a-43d1-81d6-be2bbf3c294b	312
b45d3c8e-9ec1-4125-91e2-d56b5ad69bbc	324
15eadf52-9cb7-4288-b966-22a503c157ed	351
d234ef6a-0e58-4f51-822f-0bf43071eb39	332
fce34133-71a0-4a2d-868a-891ad6dc5a2b	354
fcea6e7a-9071-4d14-bb1e-b406e10f09e3	313
2e112f1d-ab2c-4e90-83ba-801de7b34c09	330
9d846994-5724-438d-b318-122ab0f4146a	373
14808541-87af-4e60-ac31-1039d4b9947f	328
b3c6b7bb-daac-4b02-9bfe-5642ba18ca70	335
bc5aaa24-c53a-436e-bce7-c7720072c892	356
e04c283d-c1f0-42fa-914b-1be89017822d	337
15efa407-0efc-4600-98c7-ed213720dedd	354
0edb2bcd-0494-4637-985a-585195609811	338
d72ba671-b4ce-44e1-abde-3f41db6d25d7	350
8dd32b39-1600-43e8-8ce6-7bfa74c4fc24	324
b8f4996b-bbe1-41bc-8932-42a5f34b8ecf	332
0809c73c-5b1f-45ad-b6e0-a8b24db6db32	339
da60aff2-ee71-4c77-9c1d-3e5a009778eb	341
cc6f5e4b-b0c7-41d4-aa66-fbf6e952b5ba	341
6fff2f8b-28e6-4c9e-a112-c7d124c279e1	338
4e2570a7-9604-4f62-814b-2dad831e51bc	314
872f8903-cfe8-42d0-8480-a6c634ef5bae	333
b2b54d44-12b3-46ce-bc68-77f1c78625d1	362
957d31ec-1d25-47e3-b980-fe58938604ec	360
8038e053-14d0-410e-8cd7-0d720c13b171	351
3abd6c94-b570-49ee-bca2-d0ebf8022926	359
fc8e738e-2d47-4702-8301-163b0950dae8	345
b5586f45-4c71-4649-b8e6-5512c2d2706b	327
8eaa0d01-993d-4dbb-8f8b-1ec8b890b5b9	344
410c5ce0-c234-46e4-a582-00ebb7f671b8	331
be0caf0a-7ac3-4943-81b5-06ea3c4855ba	344
2136c8ec-9788-4f67-832e-61d47f7bee0e	337
cc5fe341-433f-4083-a54c-b9c2cfcacaf7	348
9d299c3a-532c-4960-9f97-4d66d2d57320	315
2df0928d-019e-4524-9014-ad37a38cea76	848
a861aa6a-f25d-4953-a4b6-907847e99b19	351
d7fe7eec-9aed-4a91-8fe7-a9bfb1eb9802	345
26a6d42b-3fc4-4a27-ae4e-5d934dcf4c1f	334
24efdac9-d755-426e-9314-d87bc2e1c0be	347
8116b8f4-33cf-40eb-b287-85491137866f	358
c66bbae7-8493-4070-a01c-46319f587640	228
e4609523-7550-41cb-8f70-ffe9d5be068a	360
56f56c81-856d-4958-8312-3917096c00e9	356
3fa0152e-ca44-4eae-b6b4-4d147d21c95e	185
777a042c-84fc-4405-bc7f-5cf4f5bc213c	316
d6aa150e-6973-4db4-a1ce-28031abb21e2	345
1f81fb8b-7e72-42e7-a131-9cb37eef972c	327
a6f9f1c0-431e-4891-8aeb-0d36fd3f17b7	351
7e83663b-958a-472a-b471-b5208b9796fe	353
975780f0-54be-45d7-b0c8-582ceba7e731	362
b7c8cc53-96ad-40f5-a460-a70fc6a691ad	378
421220ce-756f-4cbc-a4b1-59336d39e5e2	672
9af9d892-7a82-4dc2-a02c-4c17a2a9a284	365
0b3e4413-292a-4a7f-a587-868f90f9b5db	377
68643db5-ef80-42f6-bfe2-17da71c4be60	338
3aefba49-f235-4fb7-b04a-5d84c470b7ef	328
eca070a4-b0db-4d66-b4af-956b23191e06	364
4099ab63-cfad-4ab2-bf61-f19f0a8ccdbd	357
7d41335c-9508-446e-9201-c8804f4f9b59	352
a451e3d5-faa6-4f93-83f4-b2ecb932d1ad	338
9ce0c211-bd46-4d26-a124-92b65a017937	364
85988996-e145-45f7-88fe-9bc898df3a80	344
d181c4d3-9d7e-4e2e-b202-2a62190cfe90	352
9a83a41b-1474-42ac-a1ed-16d9e86fbe41	605
a527757f-239c-49ac-b01f-779d913c401b	354
c9af2e7d-8511-45b0-a0a9-c770b3cf0467	121
a7b143b0-565e-4344-8cad-73e21656d473	354
714ca15e-e6b8-4e9b-b37b-17d206b1d146	340
219f57fb-b6d6-4a2a-885c-3e1031fcd7e1	222
b7311b34-5961-42d2-9ebb-f6c4f4193b95	341
5a1a2e63-83a2-414a-bba1-41439521a880	325
1b779f7c-7ab3-400b-9166-308b6179fd41	332
d823a7a1-33f1-48d7-a7ab-b686a3ad348d	333
e97aad7a-e40d-4a8e-b584-97c70d773415	346
da04f323-99ed-47c2-83ac-250a5c4875bf	312
e15c8e6a-ef4b-49a5-ac9f-c57d8a1f2fe0	325
e0502e64-9816-47cc-b767-2bc80486d919	666
ebd6343d-94f0-4d4b-8f92-ed0a7d00a106	381
aa54326d-4c16-42fc-9aff-7ccbe0bb8474	324
9f8f7d0a-80ad-4523-a8f0-d14a4e2ccd7b	338
999071ee-e2d1-4a25-b657-a71618dfa34b	318
8bda245e-5181-4d6c-a51b-0c0b141c16ec	349
354d7b2c-ec3d-4c43-bf34-614f5f1ccbc4	363
4c723ce1-8195-4dd3-bebf-a0b1c81e7a24	338
3a3d9362-05ed-4720-86a1-1a861991f50f	342
654dc4f0-0499-4aef-a79e-ffc29c084824	344
642091bc-c2fb-4e05-bfb4-d47315e3cc49	360
af6715dc-29ec-4733-bb64-316707389c51	363
2e123631-42b2-4093-9066-beae4ac6b8ba	350
356b902a-88fb-4ddd-91f9-3b6132ef28ee	349
5d3057b7-2f5b-4102-a610-ec31b24a8c6c	351
870919ca-ca88-445f-948d-0bc4b4d3c70f	340
28cd5764-8b33-4ea6-a188-ccea7f2d16b5	361
ef93d250-5e58-44f0-8306-65b1b285c201	344
f2b6cc1a-348d-4672-a654-63a4610af97c	357
ca5f4af1-ec68-49ef-b1a6-e6aa75824121	356
67418668-d72f-453c-a2e6-eab120aec73e	368
7f1689df-f296-4f63-8cea-2eba73e50633	326
00925c5b-d55f-4eb1-b466-e68c4912f290	337
2e8750a9-ab42-41ac-8494-f77faed3412a	363
e38595a2-9581-4a53-b502-9615f6f2d494	346
767290a1-a729-4d87-b81e-e5d5b93a6b9d	481
2f66ea9d-c300-4609-8017-9c4a10756e99	879
b3cfbab1-cfc4-42f0-a0c9-3fb8e9cb917e	339
7b488dc8-f918-4c06-8411-864e78927cb6	346
b24617b8-4607-4bd8-ac07-2641c18e03e1	354
d82316f5-0f00-4b82-b945-21195a253e76	390
dfab8a5b-d95e-4e1a-9be0-d91b8493f752	308
3013d7b7-82cf-4f03-b888-5a5a057de20d	346
105134a8-51eb-4ed4-97ed-d98d575db98c	340
f0849adb-b52b-4db6-ace3-f79bbb13e6f8	359
e1619fd9-b093-434e-8b81-7a1cf97aa463	352
84b8ce41-705a-46ac-89b9-5da4e5bb9292	343
7164d4d1-11f2-45a6-8eac-2a3aa73b853b	342
eadb0caa-add9-41ae-885b-3c3e57a42be2	303
59ffc9e8-1e7e-42c5-91b8-62ff233ebded	346
addebf2b-2d00-488d-885b-ce7ac4ab70d7	335
62855131-22c7-4eba-a292-fa0fe7edb3ae	336
52c1509e-d9b7-4d6b-88f4-46c8d59967f9	369
790000f7-e095-4330-a588-469f45b3b51b	322
4ca84c9f-1aa6-40f7-9c27-d93f2583bcb6	299
386f98c8-edf6-4ffb-b9d5-733f183442c4	350
348aca30-8aec-4cc0-858d-68cea1047500	342
2d7b055e-a23f-4a71-b707-06dde9cd475c	346
bd0bc56f-e9e8-4b4f-b4e3-01b4f60f75ac	371
4d76fd1f-b700-450d-b410-a892bb26ef8a	384
62f2cc0c-5c04-42e2-9344-6a6c6da0239f	323
535109e2-c5c7-43e2-a001-230dba9cadb9	123
04d8bc57-f7bb-4d8d-b0fd-40f79984b0da	366
e09bf98d-c3f2-493d-bd41-0cd002eb1b8c	324
c8783f28-612f-48bd-af52-6892805f4b46	329
4fc31178-c932-4d84-9ba4-d9d126e04571	346
eca3ae9b-14a2-4119-bf76-2af8cb124189	337
2f6d11ef-b0c3-4af7-82e8-a4f1ec14dc1e	355
bab324e6-ff5b-444f-a55e-e3bc6fb3d0e2	360
79236ef5-e4d9-42f3-bd6c-70b6e848edf0	334
bcfd9696-6a6e-4e8d-acfc-5f61d6332088	319
ea4187fb-874d-4614-bf28-6b14e89cbbd2	333
f55b110d-aec8-4701-858b-cd7b919a30c1	323
fa892265-a9e0-4125-9482-2a94e68a7c82	352
6666eb30-9fc2-47a5-b6bc-b3e65096791b	350
1dc3886f-2581-427e-9e47-51cec9e9afae	349
55fbe2f8-dc32-42cf-9808-db0ef3d79d0e	346
a59796ac-788b-40eb-8213-1197e9fe0611	363
3729868f-a4db-4824-b87f-9afc9a21fd33	361
f20847f7-378c-441b-8bf0-05b30e973216	361
c68e8473-c4ca-4541-bbf4-d81f1f8d9af6	334
9dd446e8-db41-42d0-91e9-8f975e2e6c8f	356
55b777e1-ec87-44a1-bc22-3b56597fb074	349
8d1162ad-bd4f-42b3-8604-b91067dac87d	334
8a666f04-ae4c-4405-8cd3-f10b893007ff	351
1e670dc5-9ded-4151-b735-79a26ecc4e43	355
ac036d01-42c7-40a9-96be-8bc3b2b615f7	319
89e8f577-2446-40b1-8f7e-8471f4af38de	237
6cccc582-b179-4905-83b2-68db79b300d6	338
a42592ba-1a7f-49f8-8c1e-e32ac527a856	593
a6ac759c-cbf3-42b0-86d8-dc137cedbc35	320
fa383893-4e52-4042-8b9a-e9ad2383edd4	340
82b68c4c-3fd0-4706-b22d-a967cbd8bc8c	338
dd7a9567-2272-4ba9-ab1a-0ac8b38bf622	296
4cab071f-0b43-463e-94ca-38f7ca75454f	316
d81226c6-99c9-44c1-b4cf-f3a599e549b1	330
5addbd13-615e-4af4-a5a8-62b8e0111ab4	346
2f6b2166-db2c-4798-8262-0b266c72b2c0	345
d890637c-fe50-4ef3-99ad-a0c0fac18d23	283
0e186e08-5b54-4ee1-8100-0c9ed85c318d	296
086ff42a-f517-44f7-8315-cf26f4f9d261	270
214a6201-e4f4-4c09-8be5-d2f4ededc5bf	291
7096a894-ceb2-4b85-bc6d-3c1b34b816a9	369
173fa1b3-8f23-420e-a7b0-1e915c398962	356
84c406bf-f2cd-43fe-b6df-9fecf82d77e9	369
7ece800c-fa0c-44c2-8d30-a20b7e36d36f	336
c38baf1e-a267-4a83-843e-8c7fd1ece500	364
516ca1c8-506f-4948-b2ee-0bd1bc0ff435	349
9266b5ac-5e0c-4f1f-8834-ef821bed9147	337
e6d5df3e-1659-4eb8-aa6e-dd4c2d1152d3	334
8d5e906b-75a1-4a8c-9c95-19fd39cea661	340
c21aaf16-e104-4949-a196-7b0fceb945d4	333
2c28320b-551e-4e5a-a170-85cb9938602a	332
0cac2f82-f42b-43fb-8eed-4b6a1a7b4a3f	335
f4571510-cb08-423c-8a8a-4442f2f12892	322
9381de96-d658-442b-be22-573c57a41f5b	327
f0ddb0d8-f4d5-4eeb-ba0e-104385a2bfd0	347
4f842d46-5332-4ec8-b2e0-6b6003513602	331
43a183fe-0d1f-4610-8788-807572490079	292
b5b4520c-bba2-4865-8af6-f6b00282fa34	345
c0bbae1c-8e8f-4d0a-a55d-3367d1394427	339
075baf87-86fa-44ca-a9fe-545b0be495b0	244
1ce5d0f0-450d-4f66-9081-d8d5b24aa63c	353
c798fbb0-2fcf-4dd4-a60d-8b2cfd1ea8c8	343
6cb668b7-1dbc-4789-ac9f-a2c61d8f7bd1	345
1ce076f4-2d3e-4252-88f4-f77c63cd2db6	331
326fb7e3-2bea-4446-bcdb-fa8d3362f029	349
95355d7b-5eec-4527-8bf7-e1163159cfb4	291
dc017c45-ea82-4b67-afc6-1d6fc54bb173	354
0644f9e8-787c-4f49-a06d-ee39c3779caa	347
56ee90b6-6620-4b5c-bc1d-86e05b86c5db	617
ff106143-c87f-4ca5-bd72-0340af25f0c0	358
6d6fd824-9a77-4e1f-b02d-4558d5d58092	372
13949ee2-5034-429d-aace-c49485d8dcf3	355
5ef8164d-0565-4b67-b281-beaec39ffaca	343
05233b2c-d172-4c2e-9852-294eabd125ca	363
598e9a5a-ac02-4d33-9aae-2765cfff0380	355
22fe5831-1eea-4b8c-a48f-953ef7ae90b5	347
774f1a8d-d6f6-4e5d-a7c8-7e3c8a035e34	376
c1df6687-e373-4938-83de-ac0c25b67a1a	344
cfe6efb2-84c1-4a6a-9eda-fd0aa2febac7	352
944db166-f578-4dbd-b251-14da5d3267d7	284
87b613d0-c33b-4cfa-864e-1fb2d81421cc	360
2be22ed3-171a-4337-aefb-fd336c2e562c	327
e415a7f7-43e2-4dcc-9450-b4cf86628e2e	332
45841ba6-3bf2-4d2d-8213-feb07fad2649	364
9bd4119e-9a2f-46d5-909c-ce6ebbedb9dc	326
9941a668-6dec-4cf9-a754-411e549d9fd9	326
80ea5220-2fc8-4356-b682-85807a621b46	354
